Tanggal,Kode Saham,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi
2015-01-05,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2015-01-05,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2015-01-05,ACRO,77,70,71,1,3.437.100,252.257.100,274
2015-01-05,ACST,95,92,92,3,1.100.500,103.015.300,147
2015-01-05,ADCP,50,50,50,= 0,43.400,2.170.000,25
2015-01-05,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2015-01-06,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2015-01-06,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2015-01-06,ABBA,29,29,29,1,1.897.400,55.024.600,32
2015-01-06,ABDA,0,0,3.800,= 0,0,0,0
2015-01-06,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2015-01-06,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2015-01-06,ACRO,77,70,71,1,3.437.100,252.257.100,274
2015-01-06,ACST,95,92,92,3,1.100.500,103.015.300,147
2015-01-06,ADCP,50,50,50,= 0,43.400,2.170.000,25
2015-01-06,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2015-01-07,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2015-01-07,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2015-01-07,ABBA,29,29,29,1,1.897.400,55.024.600,32
2015-01-07,ABDA,0,0,3.800,= 0,0,0,0
2015-01-07,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2015-01-07,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2015-01-07,ACRO,77,70,71,1,3.437.100,252.257.100,274
2015-01-07,ACST,95,92,92,3,1.100.500,103.015.300,147
2015-01-07,ADCP,50,50,50,= 0,43.400,2.170.000,25
2015-01-07,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2015-01-08,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2015-01-08,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2015-01-08,ABBA,29,29,29,1,1.897.400,55.024.600,32
2015-01-08,ABDA,0,0,3.800,= 0,0,0,0
2015-01-08,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2015-01-08,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2015-01-08,ACRO,77,70,71,1,3.437.100,252.257.100,274
2015-01-08,ACST,95,92,92,3,1.100.500,103.015.300,147
2015-01-08,ADCP,50,50,50,= 0,43.400,2.170.000,25
2015-01-08,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2015-01-09,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2015-01-09,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2015-01-09,ABBA,29,29,29,1,1.897.400,55.024.600,32
2015-01-09,ABDA,0,0,3.800,= 0,0,0,0
2015-01-09,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2015-01-09,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2015-01-09,ACRO,77,70,71,1,3.437.100,252.257.100,274
2015-01-09,ACST,95,92,92,3,1.100.500,103.015.300,147
2015-01-09,ADCP,50,50,50,= 0,43.400,2.170.000,25
2015-01-09,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2015-01-10,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2015-01-10,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2015-01-10,ABBA,29,29,29,1,1.897.400,55.024.600,32
2015-01-10,ABDA,0,0,3.800,= 0,0,0,0
2015-01-10,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2015-01-10,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2015-01-10,ACRO,77,70,71,1,3.437.100,252.257.100,274
2015-01-10,ACST,95,92,92,3,1.100.500,103.015.300,147
2015-01-10,ADCP,50,50,50,= 0,43.400,2.170.000,25
2015-01-10,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2015-01-11,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2015-01-11,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2015-01-11,ABBA,29,29,29,1,1.897.400,55.024.600,32
2015-01-11,ABDA,0,0,3.800,= 0,0,0,0
2015-01-11,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2015-01-11,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2015-01-11,ACRO,77,70,71,1,3.437.100,252.257.100,274
2015-01-11,ACST,95,92,92,3,1.100.500,103.015.300,147
2015-01-11,ADCP,50,50,50,= 0,43.400,2.170.000,25
2015-01-11,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
